問,科目,解答,正誤,回答,理由
問313,法規,"[(3, 5)]",○,"[3, 5]",保険薬局における薬剤服用歴（薬歴）と調剤録に関する内容。選択肢3：薬局開設者は、薬剤師法に基づき、調剤録を薬局に備え、最終記入日から3年間保存しなければならない。これは正しい記述である。選択肢5：保険薬剤師が調剤を行う際には、患者の服薬状況、副作用の有無、併用薬などを確認し、薬剤服用歴を参照して、処方内容が適切か、安全に投与できるかなどを確認することが求められる。これは薬剤師の責務であり、適切な薬物療法を提供する上で不可欠である。正しい。選択肢1：薬剤服用歴には、患者への指導内容を記載し、継続的に服薬状況を把握することが重要である。「指導内容が記入に該当しない」は誤り。選択肢2：調剤録は、実際に調剤を行った薬剤師が責任を持って記載するものである。薬局の管理者が記載しなければならないわけではない。誤り。選択肢4：薬剤服用歴の記録・管理は薬剤師の重要な業務であり、これに関連する業務（薬剤服用歴管理指導料など）は調剤報酬の対象となる。「調剤報酬の対象とはならない」は誤り。以上より、3と5が正しい。
問314,実務,"[(2, 4)]",○,"[2, 4]",血液製剤に関する説明。選択肢2：血小板製剤（濃厚血小板）は、血小板の機能を維持し、凝集を防ぐために、室温（20～24℃）で、常に緩やかに振盪しながら保存する必要がある。正しい。選択肢4：輸血後移植片対宿主病（GVHD）は、輸血血液中のドナーリンパ球がレシピエントの組織を攻撃する重篤な合併症である。これを予防するために、血液製剤（赤血球、血小板など細胞成分を含むもの）に放射線を照射し、リンパ球の増殖能を失わせる。これが放射線照射血液製剤である。正しい。選択肢1：赤血球製剤は、細胞の生存と機能を維持するために冷蔵（1～6℃）保存が必要であり、常温保存はできない。誤り。選択肢3：新鮮凍結血漿（FFP）には赤血球はほとんど含まれないが、ABO血液型抗体が含まれるため、原則としてABO血液型適合血漿を輸血する。特に大量輸血時や新生児などでは重要である。したがって、使用前の血液型適合性の確認は必要である。しかし、2と4がより明確かつ基本的な事実である。選択肢5：FFPにはGVHDの原因となるリンパ球は含まれないため、放射線照射は不要である。誤り。以上より、2と4が正しい。
問315,法規,"[(5,)]",○,[5],血液製剤に関する質疑応答。選択肢5：「血液製剤の使用に関する記録は、医療機関において使用日から30年間保存義務がある」は誤りである。医薬品医療機器等法（薬機法）では、特定生物由来製品（輸血用血液製剤を含む）の使用に関する記録（患者氏名、製品名、ロット番号、使用年月日等）は、医療機関において少なくとも20年間保存することが義務付けられている。30年間ではない。選択肢1：輸血用赤血球製剤などの血液製剤の原料となる血液は、献血によって確保されている。正しい。選択肢2：日本における献血事業は、日本赤十字社が一元的に実施している。正しい。選択肢3：血液製剤は、献血血液から直接調製される「輸血用血液製剤」と、多数の献血血漿を原料として分画・精製される「血漿分画製剤」に大別される。正しい。選択肢4：輸血用血液製剤については、国内の献血によって国内自給が達成されている。正しい（血漿分画製剤は輸入原料に依存している部分が大きい）。以上より、誤っている記述は5。
問316,実務,"[(1, 3)]",○,"[1, 3]","メチルフェニデート塩酸塩徐放錠（コンサータ等）は、有効成分が徐々に放出されるよう特殊な製剤工夫（OROS技術等）がされているため、噛んだり砕いたりすると薬剤の放出制御ができなくなり、効果や副作用に影響が出る。したがって、噛まずに服用するよう指導するのは適切である（選択肢1）。また、メチルフェニデートは中枢神経刺激薬であり、副作用として食欲不振が比較的多く見られる。症状の悪化とともに、副作用の発現にも注意が必要であり、これらの変化が見られた場合は医師に相談するよう指導するのは適切である（選択肢3）。
選択肢2について、このタイプの徐放錠は薬剤放出後に錠剤の殻（ゴーストピル）がそのまま便中に排泄されることがあるが、これは正常であり薬が吸収されなかったわけではないため、誤った説明である。
選択肢4について、徐放錠であり、特にADHD治療薬は効果の持続時間や睡眠への影響を考慮し、通常朝に服用する。飲み忘れた場合にいつでも服用してよいわけではない。
選択肢5について、メチルフェニデートは第一種向精神薬に指定されており、依存性のリスクがあるため、用法・用量を守っていても依存が絶対に生じないとは断言できず、不適切な説明である。"
問317,法規,"[(3, 5)]",×,"[1, 4]","メチルフェニデート塩酸塩は向精神薬取締法における第一種向精神薬である。向精神薬を携帯して海外へ渡航する場合、麻薬及び向精神薬取締法に基づき、処方箋の写し等を携帯するとともに、渡航先によっては事前の許可申請が必要となる場合がある。特に、輸出入にあたる場合は地方厚生局長の許可が必要であるため、1週間の旅行であっても許可が必要となる可能性がある（選択肢1）。また、第一種向精神薬は、向精神薬取締法に基づき、薬局において鍵をかけた堅固な設備内に保管しなければならない（選択肢4）。
選択肢2について、調剤済み処方箋の廃棄に関して、都道府県知事への届出義務は定められていない（処方箋自体の保存義務は3年間）。
選択肢3について、医薬品等の広告は薬機法等で規制されるが、医療関係者向け専門誌等への広告が全て禁止されているわけではない。
選択肢5について、特定の医薬品の適正流通を目的としたシステムへの登録が求められる場合があるが、向精神薬全般の薬局での取り扱いにこの特定のシステムへの登録が必須とされているわけではない（ただし、譲渡・譲受等の記録・保管義務は厳格に定められている）。"
問318,実務,"[(2, 4)]",○,"[2, 4]","メポリズマブ自己注射ペン（オートインジェクター）の操作確認について。まず、注射前には針キャップを外す必要があるため、それを確認することは適切である（選択肢2）。また、ペンは注射部位に垂直に、安全カバーが見えなくなるまでしっかりと押し込むことで針が刺さり薬液が注入される仕組みである。したがって、患者が手の怪我などにより、この操作を適切に行う（深く押し込む）ことができなくなっていないかを確認することは、安全かつ確実に投与するために重要である（選択肢4）。
選択肢1について、薬液の確認は注射前に行うが、ペンを皮膚に押し当ててから確認するのではなく、また激しく振る必要はない（生物学的製剤は振盪を避けるべき）。
選択肢3について、安全カバーを指で押して作動確認を行うことは、誤作動や針刺し事故の原因となりうるため不適切である。
選択肢5について、このタイプのオートインジェクターは通常、皮膚に対して垂直（90度）に押し当てて使用するため、45度の角度での注入は不適切である。"
問319,法規,"[(4, 5)]",○,"[4, 5]","高額療養費制度に関する記述について。高額療養費制度は、年齢に関わらず適用される（ただし、自己負担限度額は年齢や所得区分によって異なる）（選択肢4）。また、同一世帯内で、同一の医療保険に加入している複数の人が、同月内にそれぞれ一定額（通常21,000円以上）以上の自己負担をした場合、それらを合算して世帯の自己負担限度額を超えた分が払い戻される「世帯合算」の仕組みがある。この患者は79歳男性、妻は75歳であり、同一世帯・同一保険（後期高齢者医療制度など）に加入していると考えられるため、合算を利用できる可能性がある（選択肢5）。
選択肢1について、高額療養費の自己負担限度額は月単位で計算される。半年単位ではない。
選択肢2について、高額療養費制度の運用（支給決定など）は、患者が加入している医療保険者（国民健康保険組合、協会けんぽ、後期高齢者医療広域連合など）が行う。PMDA（医薬品医療機器総合機構）ではない。
選択肢3について、患者が国民健康保険組合に加入していれば正しいが、79歳であれば後期高齢者医療制度に加入している可能性が高く、断定はできない。制度自体はどの保険でも利用可能だが、運営主体が異なる。"
問320,法規,"[(3, 4)]",○,"[3, 4]","薬剤師の居宅療養管理指導（介護保険）に関する記述について。保険薬局として指定を受けていることは、医療保険・介護保険のサービスを提供する前提となる。介護保険の居宅療養管理指導を行う事業者として指定を受けていれば、個々の指導実施について、あらかじめ行政機関等へ届け出る必要はない（ケアプランに基づき実施される）（選択肢3）。また、介護保険における居宅療養管理指導費は、原則として月4回まで算定可能という制限がある（医療保険の在宅患者訪問薬剤管理指導料も同様に回数制限がある）（選択肢4）。
選択肢1について、患者が介護保険を利用して費用を請求する場合、算定するのは「居宅療養管理指導費」であり、「在宅患者訪問薬剤管理指導料」は医療保険の名称であるため誤り。
選択肢2について、管理指導を行う薬剤師に5年以上の実務経験は要件とされていない。
選択肢5について、訪問時に得た情報（特に他のサービスに影響しうる情報）は、医師だけでなく、ケアマネジャー等、連携する他の関係職種にも必要に応じて情報提供・報告する必要がある。"
問321,実務,"[(2,)]",×,[5],"患者は酸化マグネシウムを服用しているにも関わらず便秘が続いている。考えられる原因として、①酸化マグネシウムの効果不十分、②他の薬剤（ガランタミン、ファモチジン等）による副作用、③水分摂取不足や活動量低下などが挙げられる。選択肢の中で最も適切な提案を選ぶ。
選択肢1は水分摂取を控えるよう指導するものであり、便秘を悪化させるため不適切。
選択肢2は便秘薬である酸化マグネシウムの減量を提案するものであり、症状が改善していない状況では不適切。
選択肢3は市販薬の使用を指示するものであり、医師への相談・提案が適切な状況では不適切。
選択肢4はファモチジンの増量を提案するものであり、便秘改善にはつながらない（ファモチジンは便秘を引き起こす可能性もある）。
選択肢5はガランタミンの増量を提案するもの。ガランタミンはコリンエステラーゼ阻害薬であり、アセチルコリンを増やすことで理論的には消化管運動を亢進させる可能性がある（副作用としては下痢が多いが、便秘も報告されている）。認知症治療薬であり、認知機能改善による活動性向上なども期待できるかもしれない。他の選択肢が明らかに不適切なため、消去法的に、あるいはコリン作動性効果による腸管運動改善を期待して、これが最も可能性のある提案と判断される。ただし、通常は酸化マグネシウムの増量や他の便秘薬への変更・追加をまず検討するべき状況である。"
問322,実務,"[(3, 5)]",○,"[3, 5]","患者は夕食後の服用が困難であり、処方1（ロスバスタチン）の飲み残しが多い状況。ロスバスタチンは服用時間に制限がないため、患者の生活スタイルに合わせて朝食後などに変更することは、アドヒアランス向上のための適切な提案である（選択肢3）。また、腹部不快感は処方2（サキサグリプチン）が開始されてから約1週間半後に発現している。サキサグリプチンは副作用として腹部症状（腹部膨満、腹痛、便秘、下痢など）が報告されており（頻度は低いが）、処方1（ロスバスタチン）よりも時間的な関連性が高いと考えられるため、処方2の副作用の可能性が高いと判断し、医師に情報提供することは適切である（選択肢5）。
選択肢1について、薬剤師が自己判断で処方薬の中止を指示することはできない。
選択肢2について、服薬支援（コンプライアンス・エイド）で解決しないアドヒアランスの問題は、処方医に相談・提案すべきであり、薬局で医師に相談するというのは不適切。
選択肢4について、ロスバスタチンも腹部症状を起こしうるが、長年服用しており最近発現した症状であること、新規薬剤開始のタイミングを考慮すると、処方1の副作用の可能性が高いとは言えない。"
問323,法規,"[(4, 5)]",○,"[4, 5]","地域連携薬局の認定要件に関する記述について。地域連携薬局は、地域包括ケアシステムの中で多職種と連携し、地域住民による主体的な健康の維持・増進を支援する機能を持つ薬局である。その要件として、地域の介護・医療・福祉関係者等が参加する研修会へ継続的に参加している体制があること（選択肢4）、そして、地域の他の医療提供施設（病院、診療所等）に対し、患者の入退院時などに服薬情報等を一元的・継続的に把握し、情報提供できる体制（連携体制）を有することが求められる（選択肢5）。
選択肢1について、在宅医療の実績（一定数以上の実施）が要件の一つであり、「実績に関わらず」ではない。また、24時間対応体制も求められる。
選択肢2について、営業年数に関する要件はない。
選択肢3について、オンライン服薬指導の体制は、地域連携薬局の必須要件ではない（専門医療機関連携薬局では要件の一つ）。"
問324,実務,"[(1, 2)]",○,"[1, 2]","研究に関する情報を掲示（ポスター等）により公開し、対象者が拒否（オプトアウト）する機会を保障する場合に必要な記載内容について。ヘルシンキ宣言や人を対象とする生命科学・医学系研究に関する倫理指針に基づき、研究対象者への説明事項が定められている。これには、研究の目的（選択肢1）、研究の方法、対象となる個人の情報の内容、情報の利用目的、研究への協力を拒否する方法（オプトアウトの方法）（選択肢2）、研究組織、問い合わせ先などが含まれる。
選択肢3について、問い合わせ先（代表者や事務局）は必要だが、関与する研究者全員の連絡先を記載する必要はない。
選択肢4について、倫理審査委員会の委員名を公開する必要はない（委員会の名称や承認を受けた旨は記載することがある）。
選択肢5について、研究費用に関する詳細（誰が負担するか、具体的な金額など）をポスターに記載する必要はない（資金源の開示は論文発表時などに求められる）。"
問325,法規,"[(2,)]",○,[2],"実施する研究（過去5年間の降圧薬の服薬アドヒアランスに関する後ろ向き調査）に関する倫理審査委員会への申請にあたり遵守すべき指針・法律について。本研究は、人を対象とする観察研究に該当する。日本における人を対象とする医学系研究（臨床研究）は、「人を対象とする生命科学・医学系研究に関する倫理指針」に従って実施する必要がある（選択肢2）。
選択肢1のGCP（医薬品の臨床試験の実施の基準に関する省令）は、医薬品の承認申請を目的とした臨床試験（治験）に適用される。
選択肢3のGVP（医薬品、医薬部外品、化粧品、医療機器及び再生医療等製品の製造販売後安全管理の基準に関する省令）は、製造販売業者が行う製造販売後の安全管理体制に関する基準である。
選択肢4の薬機法（医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律）は、医薬品等の製造販売、表示、広告などを規制する法律であり、研究倫理の細則は含まない。
選択肢5の臨床研究法は、特定臨床研究（未承認・適応外薬の使用や製薬企業等から資金提供を受ける介入研究など）を対象とする法律であり、本研究は該当しない。"
問326,実務,"[(3,)]",○,[3],"造血幹細胞移植後の免疫抑制療法中の患者が下痢を訴えている状況。下痢の原因として、薬剤性（特にミコフェノール酸モフェチル（MMF）やタクロリムス）、感染症、移植片対宿主病（GVHD）などが考えられる。薬剤師の薬学的管理として不適切なものを選択する。
選択肢1：下痢の性状（回数、水様便か泥状便か、血液の混入など）を確認することは、原因検索や重症度評価の基本であり、適切な行動である。
選択肢2：MMFは血中濃度（活性代謝物MPA）と副作用（特に消化器症状）の関連が指摘されており、TDM（薬物血中濃度モニタリング）を提案することは原因特定や用量調節のために適切である。
選択肢3：メチルプレドニゾロンは移植後の免疫抑制やGVHD治療に重要な薬剤であり、自己判断での中止提案は極めて危険であり不適切である。中止や減量は医師の慎重な判断が必要である。
選択肢4：半夏瀉心湯は消化器症状に用いられる漢方薬であり、医師への処方提案として考慮する可能性はある（ただし有効性や相互作用は要確認）。提案自体が不適切とは言えない。
選択肢5：免疫抑制状態では感染性腸炎のリスクが高いため、便培養による原因検索を提案することは適切である。
したがって、最も不適切な行動は選択肢3である。"
問327,実務,"[(2,)]",○,[2],"大腿骨頸部骨折で手術予定の患者の術前中止薬について。手術に伴うリスク（出血、血栓塞栓症など）を考慮して、術前に中止すべき薬剤を判断する。
選択肢2のラロキシフェンは、選択的エストロゲン受容体モジュレーター（SERM）であり、静脈血栓塞栓症（VTE）のリスクを増加させることが知られている。手術（特に下肢の整形外科手術）はVTEのリスクを高めるため、ラロキシフェンは術前に（通常は数週間前、少なくとも72時間前には）中止することが推奨される。
選択肢1のエルデカルシトール（活性型ビタミンD3誘導体）、選択肢3のアムロジピン（カルシウム拮抗薬）、選択肢4のロスバスタチン（HMG-CoA還元酵素阻害薬）は、通常、周術期に継続されることが多い。
選択肢5のスピロノラクトン（抗アルドステロン薬、カリウム保持性利尿薬）は、電解質や循環血液量に影響するため、手術当日に中止されることがあるが、VTEリスクのあるラロキシフェンの中止の方が優先度は高い。
したがって、術前に中止すべき薬剤として最も重要なのはラロキシフェンである。"
問328,実務,"[(2, 4)]",○,"[2, 4]","川崎病で治療を受け退院する患児の家族への説明内容について。川崎病の治療では、急性期に免疫グロブリン大量療法（IVIG）とアスピリンが用いられ、解熱後も冠動脈瘤の合併がある場合やリスクが高い場合には、血栓予防のために低用量アスピリンの内服が継続される。したがって、退院後もアスピリンを継続する理由（血栓予防）を説明することは重要である（選択肢2）。また、アスピリン内服中にインフルエンザや水痘（水ぼうそう）に罹患すると、ライ症候群を発症するリスクがあるため、これらの感染症が疑われる場合には速やかに医師に連絡するよう指導する必要がある（選択肢4）。
選択肢1について、IVIGは急性期の治療であり、退院後に定期的に行うものではない。
選択肢3について、アスピリンは急性期（高用量）と回復期（低用量）で用法・用量が異なるため、「入院中と同じ用法・用量」という説明は誤りである可能性が高い。
選択肢5について、IVIG投与後は、含有される抗体の影響で生ワクチン（麻疹、風疹、水痘、おたふくかぜ等）の効果が減弱する可能性があるため、一定期間（通常11ヶ月程度）接種を延期する必要がある。"
問329,実務,"[(3,)]",○,[3],"医薬品とサプリメント成分含有食品との相互作用に関する記述の正誤を判断する。誤っているものを選択する。
選択肢1：レボドパは鉄剤とキレートを形成し吸収が低下するため、作用減弱のおそれがある。正しい記述。
選択肢2：パロキセチン（SSRI）とセント・ジョーンズ・ワートはともにセロトニン作用を増強するため、併用によりセロトニン症候群のリスクが高まる。正しい記述。
選択肢3：アレンドロン酸（ビスホスホネート製剤）は、カルシウム（Ca）などの多価陽イオンとキレートを形成し、吸収が著しく低下する。記述では「吸収が**促進**されるおそれがある」と記載されており、これが誤りである。
選択肢4：レボフロキサシン（ニューキノロン系抗菌薬）は、マグネシウム（Mg）などの多価陽イオンとキレートを形成し、吸収が低下するため、効果減弱のおそれがある。正しい記述。
選択肢5：アミノフィリンとカフェインはともにキサンチン誘導体であり、中枢神経刺激作用や心刺激作用などを有するため、併用によりこれらの作用が増強し、副作用（頭痛、不眠、動悸など）が現れることがある。正しい記述。
したがって、誤っている記述は選択肢3である。"
問330,実務,"[(1, 4)]",×,"[2, 4]","アファチニブ（EGFRチロシンキナーゼ阻害薬）を服用中の患者に対する薬物治療の評価と指導計画について。アファチニブの重大な副作用として間質性肺疾患、重度の下痢、皮膚障害（ざ瘡様皮疹、皮膚乾燥、爪囲炎など）、肝機能障害などが知られている。特に皮膚障害は高頻度に見られるため、発疹、皮膚の乾燥、かゆみなどが現れる可能性があることを伝え、対処法（保湿、刺激を避けるなど）を指導することは適切である（選択肢4）。また、がん患者であり、化学療法や分子標的治療薬による骨髄抑制のリスクは常に考慮すべきである。血小板減少も可能性のある副作用の一つとして評価・観察項目に挙げることは適切である（選択肢2）。
選択肢1について、アファチニブはEGFR遺伝子変異陽性の非小細胞肺癌に対して一次治療から用いられることも多く、「化学療法**施行後**に開始された」とは限らないため、断定的な評価は不適切。
選択肢3について、アファチニブによる下痢は重症化することもあり、自然に治るとは限らない。適切な対症療法（止痢剤など）や、場合によっては休薬・減量が必要となるため、この説明は不適切。
選択肢5について、頓服薬（この場合はロキソプロフェン）を飲み忘れた場合に、翌日に倍量服用するような指示は誤りである。"
問331,実務,"[(1, 2), (1, 5), (2, 5)]",○,"[2, 5]","心原性脳塞栓症（左中大脳動脈領域）の急性期治療に関する医師との共有事項について。患者は発症から約14時間経過しており、血栓溶解療法（t-PA）の適応時間（通常4.5時間以内）は過ぎている。また、主幹動脈閉塞はないため血管内治療の適応もない。
選択肢2のエダラボンは、脳保護作用を期待して発症後24時間以内に投与が開始される薬剤であり、この患者には適応となりうる。適切な検討事項である。
選択肢5のDOAC（直接経口抗凝固薬）は、心原性脳塞栓症の再発予防に標準的に用いられるが、急性期（特に発症早期）の開始は出血性梗塞のリスクを考慮し、梗塞の大きさや患者の状態に応じて開始時期を慎重に判断する必要がある（例：1-3-6-12 day rule）。しかし、再発予防のための抗凝固療法導入は必須であり、DOACの使用（開始時期を含め）は重要な検討事項となる。
選択肢1のヘパリンナトリウム持続静注は、急性期脳梗塞に対するルーチンの治療としては推奨されていない（出血リスクのため）。特定の状況（例：進行性脳梗塞、塞栓源の評価・治療までのブリッジングなど）で考慮される場合もあるが、一般的ではない。
選択肢3のトリプタンは片頭痛治療薬であり、脳浮腫には用いない。
選択肢4の抗血小板療法は、非心原性脳梗塞の再発予防が主であり、心原性脳塞栓症では抗凝固療法が優先される。急性期に一時的に使用されることもあるが、DOAC等の抗凝固療法への移行が前提となる。
したがって、急性期治療として適切な検討事項はエダラボン投与（2）と、再発予防を見据えたDOACの使用（開始時期の検討を含む）（5）である。"
問332,実務,"[(1, 4)]",○,"[1, 4]","ドーピング禁止物質に関する知識を問う問題。陸上競技の国際大会に出場予定の選手が使用できる一般用医薬品の成分を選択する。
選択肢1のブチルスコポラミン臭化物は、鎮痙薬であり、WADAの禁止表国際基準において禁止物質としてリストされていないため、使用可能である。
選択肢4のロラタジンは、第二世代抗ヒスタミン薬であり、禁止物質としてリストされていないため、使用可能である。
選択肢2のストリキニーネは、興奮薬であり、常に禁止されている（S6. 興奮薬）。
選択肢3のマオウ（麻黄）は、エフェドリン等を含み、興奮薬として競技会（時）に禁止されている（S6. 興奮薬）。
選択肢5のプソイドエフェドリンは、興奮薬であり、競技会（時）において尿中濃度が150μg/mLを超えた場合に禁止される（S6. 興奮薬）。閾値以下なら問題ないが、リスクを伴うため推奨は慎重になるべきであり、明確に使用可能な1, 4と比較すると適切性が劣る。
したがって、明確に使用可能な成分は1と4である。"
問333,実務,"[(5,)]",○,[5],"ペムブロリズマブ（抗PD-1抗体）投与中の患者に見られる免疫関連有害事象（irAE）に関する問題。患者は倦怠感、体重増加、脈拍42/分（徐脈）を呈している。これらの症状は甲状腺機能低下症を強く示唆する。甲状腺機能低下症は、ペムブロリズマブなどの免疫チェックポイント阻害薬によるirAEとして知られている（甲状腺炎や下垂体機能障害に伴うもの）。甲状腺機能低下症の診断に最も重要な検査項目は、甲状腺刺激ホルモン（TSH）である（選択肢5）。原発性甲状腺機能低下症ではTSHは高値となり、下垂体性（中枢性）ではTSHは低値～基準範囲内でFT4が低値となる。いずれにしてもTSHの測定は必須である。
選択肢1のプロラクチン、選択肢2のテストステロン、選択肢4のゴナドトロピンは、下垂体機能障害の評価項目ではあるが、提示された症状（倦怠感、体重増加、徐脈）から第一に疑われる甲状腺機能低下症の直接的な指標ではない。
選択肢3の抗甲状腺抗体は、甲状腺機能異常の原因を探る上で有用な場合があるが、機能低下の診断自体はホルモン測定（TSH, FT4）で行う。"
問334,実務,"[(4, 5)]",○,"[4, 5]","深部静脈血栓症（DVT）と診断された患者の初期治療薬について。急性期のDVT治療では、迅速な抗凝固療法の開始が必要である。選択肢の中で、DVTの初期治療として適切なのは、経口投与可能で即効性のある直接経口抗凝固薬（DOAC）であるアピキサバン（選択肢4）や、注射薬で即効性のある低分子量ヘパリン（LMWH）であるダルテパリン（選択肢5）である。これらは、単独またはワルファリンへの橋渡し（ブリッジング）として用いられる標準的な初期治療薬である。
選択肢1のシロスタゾール、選択肢2のクロピドグレルは抗血小板薬であり、DVTの治療には用いられない。
選択肢3のワルファリンは有効な抗凝固薬であるが、効果発現までに数日を要するため、初期治療としてはヘパリン類との併用（ブリッジング）が必要であり、単独での初期治療には適さない。"
問335,実務,"[(3,)]",○,[3],"アジソン病（原発性副腎皮質機能低下症）の患者で、ヒドロコルチゾン（糖質コルチコイド補充）を開始したが、低血圧と低ナトリウム血症が改善しない状況。これは、鉱質コルチコイド（アルドステロン）の欠乏症状が残存していることを示唆する（検査値でもNa 134 mEq/L, K 5.3 mEq/Lと鉱質コルチコイド作用不足を示唆）。したがって、鉱質コルチコイド作用を持つ薬剤の追加が必要である。選択肢の中で、強力な鉱質コルチコイド作用を持ち、アジソン病の鉱質コルチコイド補充に用いられる標準的な薬剤はフルドロコルチゾン（選択肢3）である。
選択肢1のデキサメタゾン、選択肢2のベタメタゾンは強力な糖質コルチコイドであるが、鉱質コルチコイド作用はほとんどない。
選択肢4のスピロノラクトン、選択肢5のエプレレノンは抗アルドステロン薬であり、鉱質コルチコイド作用を阻害するため、この患者には禁忌である。"
問336,実務,"[(4, 5)]",×,"[1, 5]","薬剤の粉砕・脱カプセルを避けるべき理由について、正しい組み合わせを選択する。
選択肢1：ダビガトランエテキシラートメタンスルホン酸塩カプセルは、特殊なコーティングが施されたペレットを含み、特定のpH環境下で溶けて吸収されるように設計されている。脱カプセルや粉砕によりバイオアベイラビリティが過度に上昇し、出血リスクが高まる。放出部位・吸収速度を制御する製剤であり、「放出制御製剤であるため」という理由は、広い意味で正しいと解釈できる。
選択肢5：リセドロン酸ナトリウム錠（ビスホスホネート製剤）は、食道に長時間接触すると、びらんや潰瘍などの粘膜刺激作用（口腔咽頭刺激）を引き起こす可能性がある。粉砕すると薬剤が口腔や食道に付着しやすくなり、リスクが高まるため、避けるべきである。理由は正しい。
選択肢2：ポマリドミドカプセルは、催奇形性があるため、曝露リスク回避の観点から脱カプセルは避けるべきである。「光で分解するため」は主たる理由ではない。
選択肢3：バルプロ酸ナトリウム徐放錠は、徐放性を失い急激な血中濃度上昇（ドーズダンピング）を招くため、粉砕は避けるべきである。「苦味が出るため」は主たる理由ではない。
選択肢4：ランソプラゾール口腔内崩壊錠（OD錠）は、口の中で速やかに溶けるように設計されている。ランソプラゾール自体は酸に不安定なため、カプセル剤などでは腸溶性のコーティングが施されているが、OD錠を粉砕するという操作自体が通常想定されず、「腸溶錠であるため」という理由はOD錠には当てはまらない。
したがって、理由として正しい、あるいは最も適切と考えられるのは1と5である。"
問337,実務,"[(1, 3)]",○,"[1, 3]","発熱性好中球減少症（Febrile Neutropenia: FN）に対する抗菌薬の選択。FNは重篤な感染症のリスクが高い状態であり、特に好中球数500/μL未満は重症とされる。経験的治療として、緑膿菌を含む広域グラム陰性菌およびグラム陽性菌をカバーする、殺菌的な抗菌薬の速やかな静脈内投与が必要である。
選択肢1のセフェピムは、第4世代セファロスポリンであり、緑膿菌を含む広域スペクトラムを持ち、FNの標準的な初期治療薬の一つである。
選択肢3のメロペネムは、カルバペネム系抗菌薬であり、緑膿菌を含む非常に広範なスペクトラム（嫌気性菌もカバー）を持ち、重症例や耐性菌リスクが高い場合などに用いられる。これもFNの適切な治療選択肢である。
選択肢2のエリスロマイシン（マクロライド系）、選択肢4のミノサイクリン（テトラサイクリン系）は、スペクトラムや殺菌活性の面でFNの初期治療には不適切である。
選択肢5のダプトマイシンは、グラム陽性菌（特にMRSAやVRE）に有効であるが、グラム陰性菌には無効であり、FNの単独での初期治療には用いられない。
したがって、適切な抗菌薬は1と3である。"
問338,実務,"[(3,)]",○,[3],"感染対策としての滅菌手袋の外し方について、誤っている手順を選択する。手袋を外す際は、汚染されている可能性のある手袋の外面に、素手が触れないようにすることが原則である。
手順1：片方の手袋の外面（手首付近）を、もう片方の手袋をした手でつまむ（正しい）。
手順2：つまんだ手袋を裏返しながら外し、外した手袋はまだ手袋をしている方の手で保持する（正しい）。
手順3：次に、手袋を外した素手の指を、まだ手袋が装着されている方の手首の内側（皮膚と手袋の間）に滑り込ませるのが正しい方法である。選択肢3の図と説明「素手になった手で反対側の手袋の**外面**をつまむ」は、素手で汚染された手袋の外面に触れてしまうため、誤った手順である。
手順4：指を滑り込ませた後、手袋を裏返しながら（内面が外側になるように）外していく（正しい）。
手順5：外した手袋は内側に包み込むようにして廃棄し、手指衛生を行う（正しい）。
したがって、誤っているのは選択肢3である。"
問339,実務,"[(4,)]",○,[4],"次亜塩素酸ナトリウムの希釈計算問題。最終的に1L (1000mL) の0.01% (100ppm) 溶液を作成する。必要な次亜塩素酸ナトリウムの純量 = 1000mL * 0.01% = 0.1mL。
原液は6%なので、必要な原液量(ア) = 0.1mL / 6% = 1.67mL (約1.7mL)。
問題は二段階希釈。(ア)mLの6%原液を水で薄めて全量を(イ)mLにし（中間液）、その中間液を(ウ)mL取って水で薄めて全量を1L (1000mL) にする。
各選択肢を検証する。
選択肢4：ア=5mL, イ=300mL, ウ=100mL
Step 1: 5mLの6%原液を水で薄めて300mLにする。
 中間液濃度 = (5mL * 6%) / 300mL = 0.3% / 3 = 0.1%
Step 2: 0.1%の中間液を100mL取り、水で薄めて1000mLにする。
 最終濃度 = (100mL * 0.1%) / 1000mL = 0.01%
この組み合わせが目的の濃度(0.01%)となるため、正しい。"
問340,実務,"[(2, 4)]",×,"[2, 5]","食道がん術後の栄養療法に関する記述について。食道がん術後は、縫合不全のリスクや嚥下機能の変化により、経口摂取が困難な期間がある。栄養サポートチーム（NST）が介入している状況。
選択肢2：術後、経口での食事摂取が困難であるが、消化管機能が維持されている場合、経腸栄養（例：術中に造設した空腸瘻からの投与）が第一選択となる。したがって、術後の栄養管理に経腸栄養法が適しているというのは正しい。
選択肢5：経腸栄養法は、消化管の生理的な機能（バリア機能、免疫機能）を維持し、腸内細菌叢のバランスを保つ効果がある。中心静脈栄養法は、カテーテル関連血流感染症などのリスクを伴うため、消化管が使用可能な場合は、経腸栄養法の方が感染リスクは低いとされる。したがって、この記述は正しい。
選択肢1について、術前の栄養状態が悪ければ、術前でも経腸栄養（または経口栄養補助）が行われることがある。「実施できない」は誤り。
選択肢3について、経静脈栄養法で1日に必要な糖質量（カロリー）を摂取することは可能であるが、経腸栄養が可能であればそちらが優先される。
選択肢4について、経腸栄養剤は通常液体であり、半固形製剤が常に適しているわけではない。"
